"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","137"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","44.0"
">","EXTENTS_TOP:","115.0"
">","EXTENTS_RIGHT:","210"
">","EXTENTS_BOTTOM:","462"
">","EXTENTS_WIDTH:","166.0"
">","EXTENTS_HEIGHT:","347.0"
">","COMMAND_STITCH","133"
">","COMMAND_JUMP","3"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","138"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1736"
"@","+X","832"
"@","-Y","1736"
"@","-X","832"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#473fa9","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","44.0","115.0"
"*","1","JUMP","88.0","230.0"
"*","2","JUMP","132.0","345.0"
"*","3","STITCH","176","460"
"*","4","STITCH","176","459"
"*","5","STITCH","176","458"
"*","6","STITCH","176","459"
"*","7","STITCH","176","460"
"*","8","STITCH","176","445"
"*","9","STITCH","176","430"
"*","10","STITCH","176","415"
"*","11","STITCH","176","409"
"*","12","STITCH","176","415"
"*","13","STITCH","176","430"
"*","14","STITCH","176","445"
"*","15","STITCH","176","460"
"*","16","STITCH","170","460"
"*","17","STITCH","181","459"
"*","18","STITCH","170","456"
"*","19","STITCH","181","455"
"*","20","STITCH","170","452"
"*","21","STITCH","181","451"
"*","22","STITCH","170","448"
"*","23","STITCH","181","447"
"*","24","STITCH","170","444"
"*","25","STITCH","181","443"
"*","26","STITCH","170","440"
"*","27","STITCH","181","439"
"*","28","STITCH","170","436"
"*","29","STITCH","181","435"
"*","30","STITCH","170","432"
"*","31","STITCH","181","431"
"*","32","STITCH","170","428"
"*","33","STITCH","181","427"
"*","34","STITCH","170","424"
"*","35","STITCH","181","423"
"*","36","STITCH","170","420"
"*","37","STITCH","181","419"
"*","38","STITCH","170","416"
"*","39","STITCH","181","415"
"*","40","STITCH","170","412"
"*","41","STITCH","181","411"
"*","42","STITCH","170","409"
"*","43","STITCH","181","409"
"*","44","STITCH","179","412"
"*","45","STITCH","193","412"
"*","46","STITCH","203","418"
"*","47","STITCH","199","430"
"*","48","STITCH","195","431"
"*","49","STITCH","199","430"
"*","50","STITCH","203","418"
"*","51","STITCH","193","412"
"*","52","STITCH","179","412"
"*","53","STITCH","179","407"
"*","54","STITCH","179","416"
"*","55","STITCH","183","407"
"*","56","STITCH","183","416"
"*","57","STITCH","187","407"
"*","58","STITCH","187","416"
"*","59","STITCH","192","407"
"*","60","STITCH","189","416"
"*","61","STITCH","196","407"
"*","62","STITCH","192","416"
"*","63","STITCH","200","409"
"*","64","STITCH","194","417"
"*","65","STITCH","204","411"
"*","66","STITCH","196","417"
"*","67","STITCH","207","415"
"*","68","STITCH","198","419"
"*","69","STITCH","208","419"
"*","70","STITCH","199","421"
"*","71","STITCH","208","423"
"*","72","STITCH","198","424"
"*","73","STITCH","207","427"
"*","74","STITCH","196","427"
"*","75","STITCH","205","431"
"*","76","STITCH","194","428"
"*","77","STITCH","201","433"
"*","78","STITCH","191","429"
"*","79","STITCH","200","433"
"*","80","STITCH","190","429"
"*","81","STITCH","179","433"
"*","82","STITCH","192","433"
"*","83","STITCH","204","439"
"*","84","STITCH","204","452"
"*","85","STITCH","193","457"
"*","86","STITCH","179","457"
"*","87","STITCH","193","457"
"*","88","STITCH","204","452"
"*","89","STITCH","204","439"
"*","90","STITCH","192","433"
"*","91","STITCH","179","433"
"*","92","STITCH","179","428"
"*","93","STITCH","179","438"
"*","94","STITCH","183","428"
"*","95","STITCH","182","438"
"*","96","STITCH","188","428"
"*","97","STITCH","185","437"
"*","98","STITCH","192","428"
"*","99","STITCH","187","437"
"*","100","STITCH","196","430"
"*","101","STITCH","190","437"
"*","102","STITCH","200","431"
"*","103","STITCH","193","437"
"*","104","STITCH","204","433"
"*","105","STITCH","196","438"
"*","106","STITCH","207","436"
"*","107","STITCH","198","440"
"*","108","STITCH","209","440"
"*","109","STITCH","200","442"
"*","110","STITCH","210","444"
"*","111","STITCH","200","444"
"*","112","STITCH","210","448"
"*","113","STITCH","200","447"
"*","114","STITCH","209","452"
"*","115","STITCH","199","449"
"*","116","STITCH","207","456"
"*","117","STITCH","198","452"
"*","118","STITCH","204","459"
"*","119","STITCH","195","452"
"*","120","STITCH","200","461"
"*","121","STITCH","192","453"
"*","122","STITCH","196","462"
"*","123","STITCH","190","453"
"*","124","STITCH","192","462"
"*","125","STITCH","187","453"
"*","126","STITCH","187","462"
"*","127","STITCH","184","453"
"*","128","STITCH","183","462"
"*","129","STITCH","181","452"
"*","130","STITCH","179","462"
"*","131","STITCH","179","452"
"*","132","STITCH","179","453"
"*","133","STITCH","179","454"
"*","134","STITCH","179","453"
"*","135","STITCH","179","452"
"*","136","END","179","452"
